Date,Open,High,Low,Close,Adj Close,Volume
3/6/19,82.07,82.449997,81.470001,82.129997,80.183434,1444300
3/7/19,80.580002,80.739998,80.139999,80.360001,78.455383,1454400
3/8/19,80.360001,80.860001,80.199997,80.580002,78.670166,794500
3/11/19,80.809998,81.18,80.419998,80.800003,78.884956,1156700
3/12/19,81.260002,81.339996,80.620003,80.699997,78.787323,963600
3/13/19,80.550003,80.870003,80.18,80.730003,78.81662,841100
3/14/19,80.059998,80.529999,79.629997,79.650002,77.762207,1247100
3/15/19,81.169998,81.489998,80.860001,81.25,79.324287,1573900
3/18/19,81.910004,82.220001,81.660004,82.07,80.124855,680400
3/19/19,84.790001,84.959999,83.760002,83.870003,81.882195,2000400
3/20/19,83.629997,84,82.860001,83.43,81.452621,1578400
3/21/19,83.480003,83.970001,83.029999,83.919998,81.931,842500
3/22/19,82.099998,82.739998,80.739998,80.739998,78.82637,1554800
3/25/19,80,80.800003,79.919998,80.349998,78.445618,813600
3/26/19,82.07,82.25,81.75,82.029999,80.0858,915200
3/27/19,83.120003,83.389999,81.879997,82.459999,80.505608,1770000
3/28/19,82.279999,82.949997,82.099998,82.699997,80.739914,1065600
3/29/19,83.739998,84.269997,83.550003,83.970001,81.97982,1094700
4/1/19,83.559998,83.879997,83.370003,83.639999,81.657639,617200
4/2/19,84.050003,84.5,83.709999,84.18,82.184845,600900
4/3/19,83.82,84.120003,83.5,83.849998,81.862663,602400
4/4/19,84.400002,85.129997,84.099998,84.989998,82.975647,1089000
4/5/19,86.410004,86.919998,86.07,86.32,84.274117,1495700
4/8/19,86.57,86.57,85.82,86.059998,84.020279,721500
4/9/19,86.150002,86.5,86,86.43,84.381516,990400
4/10/19,87.300003,87.370003,86.760002,87.230003,85.16256,965300
4/11/19,87.760002,88.089996,87.5,87.970001,85.885017,856300
4/12/19,88.43,88.690002,88.150002,88.540001,86.441513,1608300
4/15/19,89.029999,89.18,88.75,89.110001,86.997993,680700
4/16/19,89.089996,89.300003,88.650002,88.720001,86.617249,803200
4/17/19,88.650002,88.699997,88.080002,88.330002,86.236488,1071800
4/18/19,89.470001,90.019997,89.220001,89.959999,87.82785,1409200
4/22/19,89.690002,90.470001,89.580002,89.599998,87.476387,970800
4/23/19,88.559998,89.790001,88.5,89.25,87.134682,755500
4/24/19,89.019997,89.129997,87.82,88.209999,86.119324,1038400
4/25/19,86.889999,87.019997,86,86.639999,84.586533,1341700
4/26/19,87.379997,87.629997,86.830002,87.580002,85.504257,920400
4/29/19,87.349998,88.370003,87.269997,88.010002,85.924072,840400
4/30/19,88.32,89.199997,88.220001,88.940002,86.832031,625700
5/1/19,88.559998,89.370003,87.599998,87.809998,85.728806,1667500
5/2/19,88.400002,88.519997,87.18,87.540001,85.465202,1363800
5/3/19,88.099998,88.589996,87.690002,88.099998,86.01194,1070700
5/6/19,87,88.190002,86.870003,87.769997,85.689751,1137500
5/7/19,85.07,85.669998,83.769997,84.260002,83.327904,2062800
5/8/19,84.650002,85.5,84.470001,84.940002,84.000381,1058500
5/9/19,83.519997,84.220001,83.040001,83.940002,83.011444,1033400
5/10/19,84.07,84.440002,83.300003,84.139999,83.209229,825800
5/13/19,81.849998,82.830002,81.839996,82.730003,81.814835,1321400
5/14/19,82.459999,83.519997,82.449997,83.010002,82.091736,879900
5/15/19,82.25,84.110001,82.230003,83.830002,82.902664,1637400
5/16/19,83.029999,84.589996,83,83.879997,82.952103,1233100
5/17/19,83.279999,83.449997,82.480003,82.639999,81.725822,1147800
5/20/19,81.800003,81.980003,80.790001,81.010002,80.113861,990100
5/21/19,81.190002,81.360001,80.800003,81,80.103966,1406500
5/22/19,81.32,82.870003,81.160004,82.620003,81.706047,1200000
5/23/19,82.120003,82.610001,81.970001,82.300003,81.389587,1379900
5/24/19,82.860001,83.089996,82.279999,82.760002,81.844498,828200
5/28/19,82.870003,83.120003,82.25,82.349998,81.439034,1122400
5/29/19,81.349998,81.480003,80.57,81.300003,80.40065,1500800
5/30/19,81.889999,82.690002,81.870003,82.379997,81.468697,1169800
5/31/19,80.339996,81.629997,80.080002,81.400002,80.499542,1819700
6/3/19,81.389999,82.389999,81.010002,82.279999,81.369804,1409400
6/4/19,83.660004,83.959999,83.169998,83.940002,83.011444,896000
6/5/19,84,84.059998,83.230003,83.269997,82.348854,1340200
6/6/19,83.690002,84.139999,83.449997,84.099998,83.16967,953600
6/7/19,85.410004,85.760002,84.949997,85.32,84.376175,1174300
6/10/19,85.650002,85.699997,85.160004,85.330002,84.38607,1029700
6/11/19,85.870003,86.190002,85.360001,85.809998,84.860756,885800
6/12/19,86.650002,87,86.559998,86.800003,85.839806,701400
6/13/19,86.330002,86.57,85.519997,85.93,84.979431,725100
6/14/19,84.370003,84.830002,84.07,84.18,83.248787,814600
6/17/19,83.989998,84.440002,83.849998,84.32,83.387238,779000
6/18/19,85.57,87.260002,85.489998,86.870003,85.909035,2427100
6/19/19,87.209999,88.260002,87.07,87.919998,86.947411,944400
