Date,Open,High,Low,Close,Adj Close,Volume
2019-03-06,82.070000,82.449997,81.470001,82.129997,80.183434,1444300
2019-03-07,80.580002,80.739998,80.139999,80.360001,78.455383,1454400
2019-03-08,80.360001,80.860001,80.199997,80.580002,78.670166,794500
2019-03-11,80.809998,81.180000,80.419998,80.800003,78.884956,1156700
2019-03-12,81.260002,81.339996,80.620003,80.699997,78.787323,963600
2019-03-13,80.550003,80.870003,80.180000,80.730003,78.816620,841100
2019-03-14,80.059998,80.529999,79.629997,79.650002,77.762207,1247100
2019-03-15,81.169998,81.489998,80.860001,81.250000,79.324287,1573900
2019-03-18,81.910004,82.220001,81.660004,82.070000,80.124855,680400
2019-03-19,84.790001,84.959999,83.760002,83.870003,81.882195,2000400
2019-03-20,83.629997,84.000000,82.860001,83.430000,81.452621,1578400
2019-03-21,83.480003,83.970001,83.029999,83.919998,81.931000,842500
2019-03-22,82.099998,82.739998,80.739998,80.739998,78.826370,1554800
2019-03-25,80.000000,80.800003,79.919998,80.349998,78.445618,813600
2019-03-26,82.070000,82.250000,81.750000,82.029999,80.085800,915200
2019-03-27,83.120003,83.389999,81.879997,82.459999,80.505608,1770000
2019-03-28,82.279999,82.949997,82.099998,82.699997,80.739914,1065600
2019-03-29,83.739998,84.269997,83.550003,83.970001,81.979820,1094700
2019-04-01,83.559998,83.879997,83.370003,83.639999,81.657639,617200
2019-04-02,84.050003,84.500000,83.709999,84.180000,82.184845,600900
2019-04-03,83.820000,84.120003,83.500000,83.849998,81.862663,602400
2019-04-04,84.400002,85.129997,84.099998,84.989998,82.975647,1089000
2019-04-05,86.410004,86.919998,86.070000,86.320000,84.274117,1495700
2019-04-08,86.570000,86.570000,85.820000,86.059998,84.020279,721500
2019-04-09,86.150002,86.500000,86.000000,86.430000,84.381516,990400
2019-04-10,87.300003,87.370003,86.760002,87.230003,85.162560,965300
2019-04-11,87.760002,88.089996,87.500000,87.970001,85.885017,856300
2019-04-12,88.430000,88.690002,88.150002,88.540001,86.441513,1608300
2019-04-15,89.029999,89.180000,88.750000,89.110001,86.997993,680700
2019-04-16,89.089996,89.300003,88.650002,88.720001,86.617249,803200
2019-04-17,88.650002,88.699997,88.080002,88.330002,86.236488,1071800
2019-04-18,89.470001,90.019997,89.220001,89.959999,87.827850,1409200
2019-04-22,89.690002,90.470001,89.580002,89.599998,87.476387,970800
2019-04-23,88.559998,89.790001,88.500000,89.250000,87.134682,755500
2019-04-24,89.019997,89.129997,87.820000,88.209999,86.119324,1038400
2019-04-25,86.889999,87.019997,86.000000,86.639999,84.586533,1341700
2019-04-26,87.379997,87.629997,86.830002,87.580002,85.504257,920400
2019-04-29,87.349998,88.370003,87.269997,88.010002,85.924072,840400
2019-04-30,88.320000,89.199997,88.220001,88.940002,86.832031,625700
2019-05-01,88.559998,89.370003,87.599998,87.809998,85.728806,1667500
